ShimID,Customer Feedback,Breakage (Yes/No)
1,Shim broke after 2 months,Yes
2,Crack appeared,Yes
3,"Positive, no issues",No
4,"Positive, no issues",No
5,Crack appeared,Yes
6,"Positive, no issues",No
7,"Positive, no issues",No
8,"Positive, no issues",No
9,Shim worn out quickly,Yes
10,"Positive, no issues",No
11,Crack appeared,Yes
12,Crack appeared,Yes
13,Crack appeared,Yes
14,Crack appeared,Yes
15,Shim broke after 2 months,Yes
16,Shim worn out quickly,Yes
17,Shim broke after 2 months,Yes
18,"Positive, no issues",No
19,Shim broke after 2 months,Yes
20,Crack appeared,Yes
21,"Positive, no issues",No
22,Shim broke after 2 months,Yes
23,"Positive, no issues",No
24,Crack appeared,Yes
25,Shim broke after 2 months,Yes
26,Crack appeared,Yes
27,Crack appeared,Yes
28,"Positive, no issues",No
29,Shim broke after 2 months,Yes
30,"Positive, no issues",No
31,"Positive, no issues",No
32,"Positive, no issues",No
33,Crack appeared,Yes
34,"Positive, no issues",No
35,"Positive, no issues",No
36,Shim broke after 2 months,Yes
37,"Positive, no issues",No
38,"Positive, no issues",No
39,"Positive, no issues",No
40,"Positive, no issues",No
41,Shim broke after 2 months,Yes
42,Shim worn out quickly,Yes
43,"Positive, no issues",No
44,Shim worn out quickly,Yes
45,"Positive, no issues",No
46,Shim worn out quickly,Yes
47,"Positive, no issues",No
48,Shim worn out quickly,Yes
49,"Positive, no issues",No
50,"Positive, no issues",No
51,Crack appeared,Yes
52,"Positive, no issues",No
53,"Positive, no issues",No
54,"Positive, no issues",No
55,"Positive, no issues",No
56,Shim broke after 2 months,Yes
57,"Positive, no issues",No
58,"Positive, no issues",No
59,Shim worn out quickly,Yes
60,Crack appeared,Yes
61,Crack appeared,Yes
62,Shim worn out quickly,Yes
63,Shim worn out quickly,Yes
64,"Positive, no issues",No
65,"Positive, no issues",No
66,Shim worn out quickly,Yes
67,"Positive, no issues",No
68,"Positive, no issues",No
69,Shim broke after 2 months,Yes
70,Shim worn out quickly,Yes
71,Shim worn out quickly,Yes
72,"Positive, no issues",No
73,Crack appeared,Yes
74,"Positive, no issues",No
75,Shim worn out quickly,Yes
76,"Positive, no issues",No
77,"Positive, no issues",No
78,Shim broke after 2 months,Yes
79,"Positive, no issues",No
80,Shim worn out quickly,Yes
81,"Positive, no issues",No
82,Crack appeared,Yes
83,Shim worn out quickly,Yes
84,"Positive, no issues",No
85,"Positive, no issues",No
86,Crack appeared,Yes
87,"Positive, no issues",No
88,"Positive, no issues",No
89,"Positive, no issues",No
90,Crack appeared,Yes
91,"Positive, no issues",No
92,"Positive, no issues",No
93,Shim broke after 2 months,Yes
94,Shim broke after 2 months,Yes
95,Shim broke after 2 months,Yes
96,"Positive, no issues",No
97,"Positive, no issues",No
98,"Positive, no issues",No
99,"Positive, no issues",No
100,"Positive, no issues",No
101,Crack appeared,Yes
102,"Positive, no issues",No
103,Shim broke after 2 months,Yes
104,Shim broke after 2 months,Yes
105,"Positive, no issues",No
106,Shim worn out quickly,Yes
107,Crack appeared,Yes
108,"Positive, no issues",No
109,Shim broke after 2 months,Yes
110,Shim worn out quickly,Yes
111,"Positive, no issues",No
112,Crack appeared,Yes
113,Shim worn out quickly,Yes
114,"Positive, no issues",No
115,"Positive, no issues",No
116,Crack appeared,Yes
117,"Positive, no issues",No
118,"Positive, no issues",No
119,Shim broke after 2 months,Yes
120,"Positive, no issues",No
121,"Positive, no issues",No
122,Shim worn out quickly,Yes
123,"Positive, no issues",No
124,"Positive, no issues",No
125,Shim broke after 2 months,Yes
126,Shim broke after 2 months,Yes
127,"Positive, no issues",No
128,Crack appeared,Yes
129,Crack appeared,Yes
130,Shim worn out quickly,Yes
131,Crack appeared,Yes
132,Shim broke after 2 months,Yes
133,"Positive, no issues",No
134,"Positive, no issues",No
135,Shim worn out quickly,Yes
136,Shim worn out quickly,Yes
137,Shim worn out quickly,Yes
138,"Positive, no issues",No
139,"Positive, no issues",No
140,"Positive, no issues",No
141,Crack appeared,Yes
142,"Positive, no issues",No
143,Shim worn out quickly,Yes
144,"Positive, no issues",No
145,Crack appeared,Yes
146,Shim broke after 2 months,Yes
147,"Positive, no issues",No
148,Crack appeared,Yes
149,"Positive, no issues",No
150,Shim broke after 2 months,Yes
151,"Positive, no issues",No
152,Shim worn out quickly,Yes
153,Shim worn out quickly,Yes
154,Shim broke after 2 months,Yes
155,"Positive, no issues",No
156,"Positive, no issues",No
157,"Positive, no issues",No
158,Crack appeared,Yes
159,Crack appeared,Yes
160,"Positive, no issues",No
161,"Positive, no issues",No
162,"Positive, no issues",No
163,"Positive, no issues",No
164,"Positive, no issues",No
165,Shim broke after 2 months,Yes
166,Shim broke after 2 months,Yes
