ShimID,Diameter (mm),Production Month,Screw Parameters,Handlebar Width (mm)
1,34,2022-06,Type C / 6mm,721
2,33,2022-10,Type C / 6mm,744
3,40,2022-05,Type B / 5mm,673
4,27,2023-03,Type C / 6mm,793
5,24,2023-05,Type C / 5mm,679
6,24,2023-02,Type B / 5mm,782
7,25,2024-01,Type C / 6mm,655
8,25,2023-07,Type A / 6mm,689
9,36,2023-09,Type B / 4mm,672
10,25,2022-07,Type B / 6mm,738
11,34,2022-12,Type B / 4mm,701
12,20,2022-01,Type B / 5mm,710
13,31,2023-04,Type C / 4mm,657
14,24,2022-05,Type A / 4mm,697
15,37,2022-01,Type A / 5mm,652
16,40,2022-08,Type A / 6mm,726
17,35,2023-05,Type B / 5mm,778
18,24,2023-07,Type C / 6mm,788
19,24,2023-03,Type B / 6mm,663
20,33,2023-12,Type A / 5mm,722
21,26,2022-04,Type A / 6mm,720
22,40,2022-11,Type A / 4mm,658
23,20,2023-12,Type B / 6mm,782
24,31,2023-03,Type B / 4mm,798
25,40,2022-09,Type C / 4mm,794
26,38,2023-08,Type A / 5mm,737
27,34,2023-07,Type B / 5mm,657
28,25,2022-08,Type C / 4mm,722
29,23,2022-01,Type B / 6mm,760
30,26,2022-02,Type C / 6mm,682
31,21,2023-08,Type C / 4mm,690
32,37,2023-05,Type B / 5mm,734
33,34,2023-04,Type C / 6mm,795
34,30,2023-10,Type C / 6mm,673
35,30,2023-09,Type C / 6mm,794
36,31,2023-10,Type B / 6mm,680
37,33,2022-07,Type A / 6mm,667
38,23,2022-09,Type C / 4mm,733
39,34,2022-12,Type C / 4mm,756
40,35,2023-09,Type B / 6mm,643
41,22,2022-02,Type A / 4mm,729
42,35,2022-12,Type B / 6mm,788
43,25,2023-11,Type C / 5mm,717
44,25,2022-04,Type A / 5mm,665
45,23,2022-12,Type C / 6mm,758
46,20,2023-04,Type B / 5mm,722
47,20,2023-01,Type A / 4mm,711
48,28,2022-01,Type C / 5mm,781
49,32,2022-12,Type B / 4mm,647
50,25,2022-04,Type C / 4mm,662
